ID,CREATEDDATE,CASE__C,RESOLUTION__C,OVERALL_GENERAL_COMMENTS__C,CUSTOMER_EFFORT__C,ACCOUNTID
a0k1B00000H4g6mQAB,2018-06-30 03:21:59.000,5001B000017LUcbQAG,1,"Had issues upgrading from 9.2 to 9.2. Contacted support and rep broke the certificate for every agent in my organization. Advise to resolve issue was we had to manually reinstall the agent on every endpoint by hand and rep offered no assistance with this. Product remains unusable after working with your team for three weeks. We requested escalation and manager review on multiple occasions, to no avail. We are extremely upset with your support team and I'm recommending our organization end our relationship and go with another vendor for our patch management needs.",1,001a000001NIIvgAAH
a0k1B00000H4g6hQAB,2018-06-29 20:23:22.000,5001B00001A3uoIQAR,6,,6,001a000001GZP7tAAH
a0k1B00000H4g6cQAB,2018-06-29 18:30:31.000,5001B00001A3uIJQAZ,6,Very quick response by Chris and he was able to obtain additional assistance and a WebEx very quickly to help us resolve this issue.   Much appreciated to both Chris and Martin.,6,001a000001PAtTvAAL
a0k1B00000H4g6SQAR,2018-06-29 17:48:55.000,5001B00001A3upuQAB,6,,6,0011300001l4EbsAAE
a0k1B00000H4g6NQAR,2018-06-29 17:48:28.000,5001B00001A3uFUQAZ,6,,6,0011300001uiOqnAAE
a0k1B00000H4g6IQAR,2018-06-29 17:26:51.000,5001B00001A3ViMQAV,6,"The support I receive from Ivanti staff is always good, and this case is no exception.  Colton provided accurate and quick information which led to a resolution.  Thank you.",6,0013000000eb505AAA
a0k1B00000H4g6DQAR,2018-06-29 16:26:39.000,5001B00001A3uLDQAZ,6,,6,001a000001GZP3GAAX
a0k1B00000H4g68QAB,2018-06-29 16:10:04.000,5001B00001A3ZtWQAV,5,It has taken many support calls to address this issue. Over the course of a couple of months. I have opened many tickets that all point back to this issue. Also we pay for a support contract and instead of a support call we get emailed a document. Usually one that we have already read and attempted. You could also stop the endless product name changesrebranding...annoying. Have no idea what we own anymore.,1,0011300001l4tg7AAA
a0k1B00000H4g63QAB,2018-06-29 15:40:13.000,5001B00001A3sAtQAJ,6,"Super-helpful tech support, had me up and running very quickly. Thanks very much.",6,0011300001uiEijAAE
a0k1B00000H4g5yQAB,2018-06-29 15:20:01.000,5001B00001A3ZcaQAF,6,I worked with Delwyn and he was extremely knowledgeable and helpful in resolving this issue.,6,001a000001BSq0HAAT
a0k1B00000H4g5tQAB,2018-06-29 15:03:44.000,5001B00001A3r0YQAR,6,"Before I get to open a ticket, you are giving options to read the documents. It's a good one, but sometimes there is no particular answer to one's problems. Sometimes we need immediate solution. Reading and searching for solution makes me a bit annoyed.",6,0011300001l4BD1AAM
a0k1B00000H4g5oQAB,2018-06-29 14:59:29.000,5001B00001A3nLeQAJ,6,,6,0013000000dqQJeAAM
a0k1B00000H4g5jQAB,2018-06-29 14:52:51.000,5001B00001A3tcjQAB,6,,6,0013000000dqQJeAAM
a0k1B00000H4g5eQAB,2018-06-29 14:46:55.000,5001B00001A3p07QAB,6,Kudos to Christopher Murphy.   He was very knowledgeable about the product and easy to work with.   We examined many aspects of our implementation and enabled improvements besides solving the issue at hand.   He was great!!,6,0013000000dqOQoAAM
a0k1B00000H4g5ZQAR,2018-06-29 13:55:42.000,5001B00001A3ftfQAB,6,,6,0011300001k8V6oAAE
a0k1B00000H4g5UQAR,2018-06-29 13:39:49.000,5001B00001A3sJMQAZ,6,Raising a case through the portal is time consuming particularly as the RES products are not listed in the categories defined in the help section for renamed products - sending an email with the problem and Ivanti support raising a case based on the information would be much simpler.,3,0011B00001IwX3AQAV
a0k1B00000H4g5PQAR,2018-06-29 13:38:01.000,5001B00001A3tKVQAZ,6,,6,0011300001uiEpOAAU
a0k1B00000H4g5KQAR,2018-06-29 13:36:04.000,5001B00001A3theQAB,5,,5,0011B00001IwGvnQAF
a0k1B00000H4g5FQAR,2018-06-29 13:01:45.000,5001B00001A3s7zQAB,6,Bruno was very prompt and helpful.,6,0011300001uiJhDAAU
a0k1B00000H4g5AQAR,2018-06-29 12:21:53.000,5001B00001A3pelQAB,6,"Comment for my ""Somewhat Agree"" quotation:
I would appreciate if the support agents had more freedom concerning their remote support tools.
Not all our customers allow to use WebEx, but most of the time they have their own software alternatives that work if the external agent has enough access rights to be able to install additional software on his machine.",4,0013000000dqMIaAAM
a0k1B00000H4g55QAB,2018-06-29 12:16:01.000,5001B00001A3WVbQAN,6,,5,0013000000eb8C4AAI
a0k1B00000H4g50QAB,2018-06-29 11:46:32.000,5001B00001A3prVQAR,6,"Three people participated in the final ressolution, they worked very quickley together.",6,0011300001l4Gk6AAE
a0k1B00000H4g4vQAB,2018-06-29 11:38:21.000,5001B00001A3UgtQAF,5,Das ist der dritte Case im Zusammenhang mit dem selben Problem. Das grundlegende Problem ist seit mehr als 30 Tagen ungelöst und der Kunde kann das Produkt nicht verwenden,5,001a000001NIO8NAAX
a0k1B00000H4g4qQAB,2018-06-29 11:31:33.000,5001B00001A3rtnQAB,5,Website is dramtical.. Was looking voor download RES,6,0011B00001IwG92QAF
a0k1B00000H4g4lQAB,2018-06-29 10:04:24.000,5001B00001A3tmPQAR,6,,6,0011B00001IwDhWQAV
a0k1B00000H4g4gQAB,2018-06-29 09:39:48.000,5001B00001A3sWuQAJ,6,,6,0013000000dqM5uAAE
a0k1B00000H4g4bQAB,2018-06-29 09:37:42.000,5001B00001A3rflQAB,6,"Fast response, I had the first call within 5 minutes after submitting my case. After that I had my answers within 2 hours. Thats the support I need with my userbase and that is why I like to use Ivanti. Keep this up and you keep me as a customer.",6,0011B00001IwCAMQA3
a0k1B00000H4g4WQAR,2018-06-29 08:24:29.000,5001B000017KKnpQAG,6,,6,001a000001BSq2mAAD
a0k1B00000H4g4RQAR,2018-06-29 08:21:48.000,5001B00001A3sbLQAR,6,,6,0011B00001IwWbhQAF
a0k1B00000H4g4MQAR,2018-06-29 07:42:51.000,5001B00001A3nFCQAZ,6,"Quick contact, clear explanation, keep up the good work!",6,0011B00001IwGXnQAN
a0k1B00000H4g4HQAR,2018-06-28 22:41:53.000,5001B00001A3tOhQAJ,6,,5,0011300001uiOmeAAE
a0k1B00000H4g4CQAR,2018-06-28 21:33:16.000,5001B00001A3nt5QAB,6,Joe is a technical wizard!,6,001a000001DFmtCAAT
a0k1B00000H4g47QAB,2018-06-28 20:10:49.000,5001B00001A3oRvQAJ,6,Greg is the man,6,0011300001uiK0GAAU
a0k1B00000H4g3xQAB,2018-06-28 19:41:32.000,5001B000017KlAkQAK,6,,6,0013000000iGWl6AAG
a0k1B00000H4g3sQAB,2018-06-28 18:37:44.000,5001B00001A3r1HQAR,6,"Randy was super fast in answering my question, as usual.",6,0011300001uiORFAA2
a0k1B00000H4g3nQAB,2018-06-28 17:01:12.000,5001B00001A3sVNQAZ,6,"I understand ivanti now owns Goldmine, which I have always found to be a very challenging program.  I really lucked out today with Chris to provide the support I need to get Goldmine up and running correctely.",2,0011300001uiN6GAAU
a0k1B00000H4g3iQAB,2018-06-28 16:54:07.000,5001B00001A3q9UQAR,6,The tech Bryan was more than helpful and I hope next time I need support he responds,6,0011B00001IwRxrQAF
a0k1B00000H4g3dQAB,2018-06-28 16:50:30.000,5001B00001A3sZPQAZ,6,"The technician was very knowledgeable and professional, and was able to resolve my issue quickly. The call back was almost instant!

Most support these days sucks, and I am always shocked when I actually get good quality support. A plus for English speaking technicians! A very pleasant experience during a week that I have had to deal with support personnel constantly (and most of it not all that pleasant either).",6,001a000001NILs2AAH
a0k1B00000H4g3YQAR,2018-06-28 16:41:40.000,5001B000017L3RtQAK,1,"Splashtop is a 3rd Party app and your support portal has very little information on it.  The agent I had to deal with this time was slow to respond or understand the problem as stated.  They did not ask clarifying questions and assumed an answer to provide me.  I got tired of waiting days for a response to emails as I do have other things to do.  The file is downloaded now per the instructions I finally found elsewhere, I still can't connect the mobile devices but I am working with intern now as we seem to be able to figure it out playing around with the system than with help from your agents.",1,001a000001GZPFTAA5
a0k1B00000H4g3TQAR,2018-06-28 15:40:09.000,5001B00001A3sUPQAZ,6,,6,0011300001uiRAVAA2
a0k1B00000H4g39QAB,2018-06-28 14:14:55.000,5001B00001A3nf0QAB,6,Keep up the good work!,6,001a000001NIGCzAAP
a0k1B00000H4g34QAB,2018-06-28 13:31:54.000,5001B000017KkSpQAK,6,,6,0013000000dqQqCAAU
a0k1B00000H4g2zQAB,2018-06-28 13:18:57.000,5001B000017LAGwQAO,6,,6,0013000000eb8JkAAI
a0k1B00000H4g2uQAB,2018-06-28 13:18:43.000,5001B000017LAWLQA4,6,,6,0013000000eb8JkAAI
a0k1B00000H4g2pQAB,2018-06-28 13:03:26.000,5001B00001A3rH0QAJ,6,,5,0011300001uiM2jAAE
a0k1B00000H4g2kQAB,2018-06-28 12:48:42.000,5001B00001A3lVDQAZ,6,Good job done.,6,0011300001l4E28AAE
a0k1B00000H4g2fQAB,2018-06-28 12:24:58.000,5001B000017LLdhQAG,6,I am very appreciative of his assistance and looking forward to continuing to work together in the future.,6,0011B00001IwTluQAF
a0k1B00000H4g2aQAB,2018-06-28 12:23:29.000,5001B00001A3m5aQAB,6,"Working with David was a great learning experience for me. I really value the knowledge and insight he have and willingness to share it with me. I consider him a valuable mentor.
I am very appreciative of his assistance and looking forward to continuing to work together in the future.",6,0011B00001IwTluQAF
a0k1B00000H4g2QQAR,2018-06-28 10:23:36.000,5001B00001A3WTpQAN,6,,6,0011300001cONItAAO
a0k1B00000H4g2LQAR,2018-06-28 08:53:55.000,5001B00001A3h4XQAR,5,,5,0011300001uiGMeAAM
a0k1B00000H4g2GQAR,2018-06-28 08:49:43.000,5001B00001A3dnNQAR,5,,5,0011300001uiG2qAAE
a0k1B00000H4g2BQAR,2018-06-28 06:51:38.000,5001B00001A3bGMQAZ,6,"David Denning provides world class support with a great balance in softskills and technical knowledge. Its always great working with him on resolving issues.
His consistent efforts add confidence to customers using Ivanti products.",6,001a000001NIKAFAA5
a0k1B00000H4g26QAB,2018-06-28 03:27:56.000,5001B00001A3bDrQAJ,6,Jo Shen was very helpful and accommodating.,6,0013000000dqPmPAAU
a0k1B00000H4g21QAB,2018-06-27 22:52:37.000,5001B00001A3fkYQAR,5,,5,001a000001GZP7tAAH
a0k1B00000H4g1wQAB,2018-06-27 21:32:11.000,5001B00001A3TWJQA3,6,Brian is the best.  He clearly demonstrates his strong knowledge of the products and is patient and understanding.  Thanks!,6,0011300001uiNemAAE
a0k1B00000H4g1rQAB,2018-06-27 21:05:38.000,5001B000017KD43QAG,6,,6,001a000001NIMhrAAH
a0k1B00000H4g1mQAB,2018-06-27 20:54:48.000,5001B00001A3qTAQAZ,6,,6,0011300001uiNolAAE
a0k1B00000H4g1hQAB,2018-06-27 20:41:01.000,5001B00001A3bavQAB,5,Please update your Ivanti Patch for Windows upgrade guide to include ensuring that users who upgrade from Shavlik 9.2 to Ivanti Patch for Windows update the data files on the server they are updating prior to testing the application. Thank you,6,001a000001NIGCzAAP
a0k1B00000H4g1NQAR,2018-06-27 20:33:56.000,5001B00001A3oRbQAJ,6,tech support call tree is far too deep and detailed for my liking.,6,0011300001i7LHWAA2
a0k1B00000H4g18QAB,2018-06-27 19:40:50.000,5001B00001A3oirQAB,4,"The initial tech was very helpful with looking at the initial problem. A senior tech was brought in and was rude and unprofessional. After the ticket was opened and I uploaded screenshots I didn't quit working the issue and still was troubleshooting it after the upgrade. The senior tech basically got mad because I was still troubleshoot the issue and called me a liar when I explained what I had done and part of the error was not appearing anymore. I did get offended as everyone in my office was offended when they heard him on the speaker phone. If I didn't need the help to get the issue resolved, I would have hung up the phone.",4,0011B00001z96WqQAI
a0k1B00000H4g13QAB,2018-06-27 19:11:10.000,5001B00001A3ogRQAR,6,Great support,6,0013000000dqPlQAAU
a0k1B00000H4g0yQAB,2018-06-27 18:40:35.000,5001B00001A3coUQAR,6,Candice was a big help with getting the info I needed,6,0013000000dqSjiAAE
a0k1B00000H4g0tQAB,2018-06-27 16:38:12.000,5001B00001A3qOZQAZ,6,,5,0013000000eeeOyAAI
a0k1B00000H4g0oQAB,2018-06-27 15:20:21.000,5001B00001A3WubQAF,6,,6,001a000001NIGXBAA5
a0k1B00000H4g0jQAB,2018-06-27 15:00:36.000,5001B00001A3e1oQAB,6,Ivanti holding more detail based on our specific setup would have probably expedited the resolution of this case for us.,6,0011300001uiHMkAAM
a0k1B00000H4g0eQAB,2018-06-27 14:51:50.000,5001B00001A3cZjQAJ,5,,5,0011300001iAPs9AAG
a0k1B00000H4g0ZQAR,2018-06-27 14:36:14.000,5001B000017LVgVQAW,5,,5,001a000001BSq1kAAD
a0k1B00000H4g0UQAR,2018-06-27 14:36:11.000,5001B00001A3jqdQAB,1,"I sent two emails after receiving the password reset link, that it wasn't working. Both times replying to the techs email address and then the case gets closed and I'm still not able to log in. This is a time consuming process to have to submit a support ticket for password resets.",1,0011300001l1t18AAA
a0k1B00000H4g0PQAR,2018-06-27 14:35:44.000,5001B00001A3OhOQAV,5,"More Remote Support, less email",5,0011300001uiHZRAA2
a0k1B00000H4g0KQAR,2018-06-27 14:20:15.000,5001B00001A3nJdQAJ,6,,5,0011300001idOeZAAU
a0k1B00000H4g0FQAR,2018-06-27 14:15:14.000,5001B000016MUJiQAO,1,"The solution provided for my issue by support was a brief ""the requested patches have been released."" This was never the issue. The issue was that some of the released patches were not being shown as received by our Ivanti installation and could not be deployed to machines for several days to months after I could find the official Ivanti release. I have one opera release with a release date of 3/26 that wasn't downloaded until 5/12, and I've received no help or explanation as to why this happens with some deployments. I had been trying to work Ivanti's patch system into our deployment workflow to get around Ivanti's stubborn lack of cooperation with any sort of automatically updated software, but this makes it totally unreliable, especially if I can't even get the time of day from support.",1,0011300001uiPECAA2
a0k1B00000H4g0AQAR,2018-06-27 13:59:43.000,5001B000017JlvpQAC,5,,5,0011300001l4ErZAAU
a0k1B00000H4g05QAB,2018-06-27 13:56:51.000,5001B00001A3mPkQAJ,6,I feel like Kent has taken me under his wing as his Padawan. He explains everything very well.,6,001a000001DFmtCAAT
a0k1B00000H4g00QAB,2018-06-27 13:54:56.000,5001B00001A3pv8QAB,6,Training videos or examples built into the Help guide would be fantastic.,5,0011300001uiMgbAAE
a0k1B00000H4fzvQAB,2018-06-27 13:51:50.000,5001B00001A3o2lQAB,6,Kent is a great teacher!,6,001a000001DFmtCAAT
a0k1B00000H4fzqQAB,2018-06-27 13:26:30.000,5001B00001A3gKoQAJ,6,,6,00130000013BTOcAAO
a0k1B00000H4fzlQAB,2018-06-27 11:23:50.000,5001B00001A3lm4QAB,6,,6,0011300001uiG6VAAU
a0k1B00000H4fzgQAB,2018-06-27 11:00:14.000,5001B000017KXwqQAG,6,,6,0011B00001IwEFRQA3
a0k1B00000H4fzbQAB,2018-06-27 09:11:26.000,5001B000017KZyoQAG,6,Support Engineer Venkatesh sonti  has provide proper nd on time support to us.,5,0013000000dqM5yAAE
a0k1B00000H4fzWQAR,2018-06-27 07:59:31.000,5001B00001A3Re7QAF,1,,1,0011300001uiKBZAA2
a0k1B00000H4fzRQAR,2018-06-27 06:37:02.000,5001B00001A3ZGAQA3,6,,6,0013000000dqQJeAAM
a0k1B00000H4fzMQAR,2018-06-27 05:58:40.000,5001B000017LYQNQA4,6,"Kevin Fenley is awesome, he works hard to help us solve issues.

I rated Q3 as somewhat satisfied primarily because the community forum / Ivanti support page could use a lot of work. I know it just recently got an upgrade, but it still needs a lot of work.",5,0011300001uiJAjAAM
a0k1B00000H4fzHQAR,2018-06-27 01:15:40.000,5001B00001A3mtBQAR,6,that was the best tech support call i have experiences in 25 years.   he answered everything i needed and went out of his way to help me.  amazing.   thanks!,6,0011B000022Q65HQAS
a0k1B00000H4fz7QAB,2018-06-27 00:02:59.000,5001B00001A3pK7QAJ,6,Ivanti Staff Support is Always Very Helpful and Knowledgeable,6,0011300001uiKOCAA2
a0k1B00000H4fz2QAB,2018-06-26 22:47:23.000,5001B00001A3p5HQAR,6,"Anthony with Shavlick was a godsend for our Bank. With a limited IT staff and little background experience, Ivanti made patching easier than ever. Anthony guided us through the installation and troubleshooting of common problems while essentially introducing us to the software on a helpful service call. I'm very impressed and thankful for the support.",6,0011B000021AmtnQAC
a0k1B00000H4fynQAB,2018-06-26 19:38:29.000,5001B00001A3oceQAB,6,Chris was great.  Best tech support person I have spoken to with Goldmine or Ivanti.,6,0011300001uiM9HAAU
a0k1B00000H4fydQAB,2018-06-26 19:18:27.000,5001B00001A3okYQAR,6,,6,0011300001uiKQdAAM
a0k1B00000H4fyYQAR,2018-06-26 17:21:55.000,5001B00001A3oJwQAJ,6,Anthony was quick to figure the problem out and to work with the proper department to get it resolved.   Was a great customer experience.,6,0011300001uiUAFAA2
a0k1B00000H4fyOQAR,2018-06-26 15:59:57.000,5001B00001A3oEXQAZ,6,,5,0011300001uiNINAA2
a0k1B00000H4fyJQAR,2018-06-26 15:58:10.000,5001B000017L2pjQAC,6,Very good service.,6,0011300001hCT5vAAG
a0k1B00000H4fy4QAB,2018-06-26 15:28:23.000,5001B00001A3iIpQAJ,5,The support I received from Anthony Swanson is exceptional.,5,001a000001NIHAnAAP
a0k1B00000H4fxzQAB,2018-06-26 15:14:24.000,5001B00001A3nnJQAR,6,,6,0013000000dqNcBAAU
a0k1B00000H4fxuQAB,2018-06-26 14:59:49.000,5001B00001A3mFaQAJ,6,Tech was very helpful.,6,001a000001NIaa8AAD
a0k1B00000H4fxpQAB,2018-06-26 14:54:32.000,5001B00001A3nyyQAB,6,helpful and knowledgeable support staff.,6,0011300001uiKy7AAE
a0k1B00000H4fxkQAB,2018-06-26 14:35:21.000,5001B000017Kg32QAC,6,,6,001a000001NILvaAAH
a0k1B00000H4fxfQAB,2018-06-26 14:16:46.000,5001B000017KFXWQA4,5,David did a great job keep me updated and trying everything he could think of.,5,001a000001NIMJHAA5
a0k1B00000H4fxaQAB,2018-06-26 14:09:14.000,5001B00001A3nlIQAR,6,,6,001a000001DFmtCAAT
a0k1B00000H4fxVQAR,2018-06-26 13:43:09.000,5001B000017LKpDQAW,6,"Guido's assistance has been fantastic especially that were running on unsupported version of the product (RES Automation 2012). His help has been invaluable is assisting with our upgrade plans to Ivanti Automation 2018 offered 
He's a credit to your team",6,0011B00001IwWboQAF
a0k1B00000H4fxQQAR,2018-06-26 13:13:38.000,5001B00001A3h3UQAR,6,"Brian Taylor is always awesome. He has helped educate and assist on issues or problems many times. In my opinion, he is a great asset.",6,0011300001jGBNvAAO
a0k1B00000H4fxLQAR,2018-06-26 13:02:07.000,5001B00001A3ipeQAB,6,"The support request had to be converted to a service request, It would be good for partners to have direct access to service requests,",5,0013000000eauh5AAA
a0k1B00000H4fxGQAR,2018-06-26 12:58:29.000,5001B00001A3nUlQAJ,5,,5,0011B00001IwDGIQA3
a0k1B00000H4fxBQAR,2018-06-26 12:41:22.000,5001B00001A3eHSQAZ,6,,6,0011300001uiJ2eAAE
a0k1B00000H4fx6QAB,2018-06-26 12:00:47.000,5001B000016KiFFQA0,5,certains pourraient entraîner la création de patchs ne nécessitant pas d'attendre une version ultérieure...,4,0013000000z8wQ8AAI
a0k1B00000H4fx1QAB,2018-06-26 12:00:12.000,5001B000017JNLiQAO,2,certains pourraient entraîner la création de patchs ne nécessitant pas d'attendre une version ultérieure...,4,0013000000z8wQ8AAI
a0k1B00000H4fwwQAB,2018-06-26 09:12:33.000,5001B000016LwuCQAS,6,Special thanks to Randy Roubos - he made a great job!,5,0011B00001IwXWjQAN
a0k1B00000H4fwrQAB,2018-06-26 08:42:48.000,5001B000017JV5NQAW,6,,6,00130000015N6pFAAS
