ID,SalesOrder#,Billing Dt,Bookings Amount,Bookings Quantity,Material #,Deal Type,Product Type,Reseller #,End Cust #,Contract Start,Contract End,BOARD_GEO,BOARD_PROD_FAMILY,First Year Bkg Amt Commissionable,AccountID
360,521845,2018-02-02 00:00:00.000,1168.23,150,DCCMT0001,Renewal,MNT,105124,127005,2017-05-15 00:00:00.000,2018-05-14 00:00:00.000,EMEA,HT Security,1168.23,0011300001uiG8iAAE
3496,523331,2018-02-16 00:00:00.000,5250,7500,PDTSV0001,Renewal,SUB,3856,113379,2018-01-27 00:00:00.000,2018-04-30 00:00:00.000,Americas,HT Security,5250,0011300001uiP1HAAU
5138,524145,2018-02-26 00:00:00.000,236.39,80,DCEMT0001,Volume,MNT,105124,113399,2018-02-23 00:00:00.000,2018-06-15 00:00:00.000,EMEA,HT Security,236.39,0011300001uiFanAAE
5003,494698,2017-05-30 00:00:00.000,180,9,NAU-MA-1504,New,MNT,80474,84473,2017-05-30 00:00:00.000,2018-05-29 00:00:00.000,Americas,Naurtech,180,
494,498459,2017-07-06 00:00:00.000,3495,500,LDMSSMBPMA-M,Renewal,MNT,3856,91034,2017-05-16 00:00:00.000,2018-05-15 00:00:00.000,Americas,Systems Management,3495,
1275710,0040012757,2016-08-31 00:00:00.000,2378.7,900,IN GSP 12 F,New,MNT,1000388,2004864,2016-08-31 00:00:00.000,2018-06-30 00:00:00.000,EMEA,UPM,1299.74,
1275720,0040012757,2016-08-31 00:00:00.000,1255.43,100,DSK GSP 12 F,New,MNT,1000388,2004864,2016-08-31 00:00:00.000,2018-06-30 00:00:00.000,EMEA,UPM,685.98,
2490,496048,2017-06-14 00:00:00.000,79.2,3,120-MA-GENTN2,Volume,MNT,65193,79104,2017-06-14 00:00:00.000,2018-06-13 00:00:00.000,Americas,Emulation,79.2,
4685,496982,2017-06-23 00:00:00.000,1411.45,150,LDMSSMBPMA-M,Renewal,MNT,30879,32791,2017-06-30 00:00:00.000,2018-06-29 00:00:00.000,EMEA,Systems Management,1411.45,
4686,496982,2017-06-23 00:00:00.000,1065.31,150,LDPM-S,Renewal,SUB,30879,32791,2017-06-30 00:00:00.000,2018-06-29 00:00:00.000,EMEA,Security Management,1065.31,
6907,497990,2017-06-30 00:00:00.000,41.78,2,NAU-MA-1500,New,MNT,80054,109540,2017-06-30 00:00:00.000,2018-06-29 00:00:00.000,EMEA,Naurtech,41.78,
4327,494398,2017-05-26 00:00:00.000,496.74,1,LDVCSA-M,Renewal,MNT,53260,83428,2017-05-31 00:00:00.000,2018-05-30 00:00:00.000,EMEA,Systems Management,496.74,
4328,494398,2017-05-26 00:00:00.000,1940.4,210,LDMSSMBPMA-M,Renewal,MNT,53260,83428,2017-05-31 00:00:00.000,2018-05-30 00:00:00.000,EMEA,Systems Management,1940.4,
4329,494398,2017-05-26 00:00:00.000,472.5,70,LDPM-S,Renewal,SUB,53260,83428,2017-05-31 00:00:00.000,2018-05-30 00:00:00.000,EMEA,Security Management,472.5,
3312,492171,2017-04-26 00:00:00.000,1584,60,140-MA-VELOCC,Volume,MNT,65193,91816,2017-04-26 00:00:00.000,2018-04-25 00:00:00.000,Americas,Mobile Middleware,1584,
3309,492170,2017-04-26 00:00:00.000,11491.2,1596,S-STDWSPSSS-C-R,Renewal,MNT,72874,75690,2017-06-05 00:00:00.000,2018-06-04 00:00:00.000,Americas,PROTECT,11491.2,
3310,492170,2017-04-26 00:00:00.000,4075.2,283,S-STDSVPSSS-C-R,Renewal,MNT,72874,75690,2017-06-05 00:00:00.000,2018-06-04 00:00:00.000,Americas,PROTECT,4075.2,
3302,492168,2017-04-26 00:00:00.000,473.09,1,LDVCSA-M,Renewal,MNT,31245,37473,2017-05-15 00:00:00.000,2018-05-14 00:00:00.000,Americas,Systems Management,473.09,
3303,492168,2017-04-26 00:00:00.000,242.8,20,LDMSPMA-M,Renewal,MNT,31245,37473,2017-05-15 00:00:00.000,2018-05-14 00:00:00.000,Americas,Systems Management,242.8,
3304,492168,2017-04-26 00:00:00.000,3022.5,50,LDSUM-M-UPG,Renewal,MNT,31245,37473,2017-05-15 00:00:00.000,2018-05-14 00:00:00.000,Americas,User Management,3022.5,
,1780097,2017-06-30 14:00:00.000,166.4894155625991,20,RESWSNSA1,New,MNT,3452,10443,2017-07-01 00:00:00.000,2018-06-30 00:00:00.000,EMEA,Res-UEM,166.49,
2896,493733,2017-05-17 00:00:00.000,25.5,3,310-MA-AVH1AD,Volume,MNT,65209,65707,2017-05-17 00:00:00.000,2018-05-16 00:00:00.000,Americas,Avalanche,25.5,
72,490565,2017-04-03 00:00:00.000,291.08,10,LDSVPMA-M,Renewal,MNT,30857,76248,2017-04-15 00:00:00.000,2018-04-14 00:00:00.000,EMEA,Systems Management,291.08,
