ID,SalesOrder#,Billing Dt,Bookings Amount,Bookings Quantity,Material #,Deal Type,Product Type,Reseller #,End Cust #,Contract Start,Contract End,BOARD_GEO,BOARD_PROD_FAMILY,First Year Bkg Amt Commissionable,AccountID
,1720818,2017-05-11 14:00:00.000,7.03068880369208,5,RESWGNSA1,Renewal,MNT,1591,10777,2018-05-01 00:00:00.000,2018-05-31 00:00:00.000,EMEA,Res-UEM,7.03,
6581,532759,2018-04-30 00:00:00.000,141.75,1,EMMMT0003,Renewal,MNT,109227,109227,2018-04-30 00:00:00.000,2018-05-30 00:00:00.000,Americas,HT Security,141.75,0011300001uiO6XAAU
4393,534925,2018-05-18 00:00:00.000,1605.45,1,GLDRI0002,Renewal,MNT,129521,129521,2018-05-19 00:00:00.000,2018-06-19 00:00:00.000,Americas,Goldmine,1605.45,0011300001uiHYfAAM
4303,534881,2018-05-18 00:00:00.000,240.8,1,S-PWS-LATERNWL-C,Renewal,MNT,105104,129513,2018-05-01 00:00:00.000,2018-05-31 00:00:00.000,Americas,PROTECT,240.8,0011300001uiNmWAAU
4295,534876,2018-05-18 00:00:00.000,200.32,1,PAY-TERM-DIS,Renewal,MNT,98000,75481,2018-05-18 00:00:00.000,2018-06-17 00:00:00.000,EMEA,Service Desk,200.32,001a000001NIKW9AAP
2824,534121,2018-05-11 00:00:00.000,300,1,GLDRI0002,Renewal,MNT,111377,111377,2018-05-03 00:00:00.000,2018-06-03 00:00:00.000,Americas,Goldmine,300,0011300001uiJI5AAM
2799,534107,2018-05-11 00:00:00.000,821.84,1,GLDRI0002,Renewal,MNT,129384,129384,2018-05-11 00:00:00.000,2018-06-10 00:00:00.000,Americas,Goldmine,821.84,0011300001uiJ3EAAU
2759,534091,2018-05-11 00:00:00.000,915.4,10,MIG-HCLA-ISMSD-C-M,Renewal,MNT,31076,109244,2018-05-11 00:00:00.000,2018-06-30 00:00:00.000,Americas,HT ITSM,915.4,0011300001uiH03AAE
9629,540768,2018-06-29 00:00:00.000,1419,1,S-PWS-LATERNWL-C,Renewal,MNT,1036,90353,2018-06-29 00:00:00.000,2018-06-29 00:00:00.000,Americas,PROTECT,1419,0011300001hAPPsAAO
5867,539280,2018-06-22 00:00:00.000,1223.2,1,GLDRI0002,Renewal,MNT,114289,114289,2018-05-24 00:00:00.000,2018-06-24 00:00:00.000,Americas,Goldmine,1223.2,0011300001uiHKIAA2
4195,538469,2018-06-18 00:00:00.000,192.78,1,S-PWS-LATERNWL-C,Renewal,MNT,1036,76009,2018-06-18 00:00:00.000,2018-06-18 00:00:00.000,Americas,PROTECT,192.78,001a000001NIG6gAAH
995,537000,2018-06-06 00:00:00.000,310.21,1,HETRI0002,Renewal,MNT,94100,129848,2018-05-10 00:00:00.000,2018-05-30 00:00:00.000,EMEA,HT ITSM,310.21,0011300001uiGLPAA2
